Field1,Title,Field2,Field3,Field4,ImgurUrl,PostImagesUrl
Bars,Essential Silky Peanut Butter & Chocolate Chip Bar  (Box),$21.45,https://www.optavia.com/webmedia/images/h43/h8f/8797140877342.jpg,"Enjoy this Silky Peanut Butter & Chocolate Chip Bar that will nourish you for the day ahead. Sweet, nutty, real peanuts mixed with scrumptious chocolate chips is a heavenly combination you can't miss out on. Take it with you wherever you're going and push your day to perfection.",,https://i.postimg.cc/pr0Nqy1m/8797140877342.jpg
Bars,Essential Raisin Oat Cinnamon Crisp Bar  (Box),$21.45,https://www.optavia.com/webmedia/images/hbe/h77/8797141008414.jpg,"Fully enjoy this Raisin Oat Cinnamon Crisp Bar that gives you just what you need to make the most of your day. Sweet, ripened raisins and the warm spice of cinnamon come together perfectly for a joyful combination you'll love. And with a layer of delicious icing on top, you can't go wrong. Grab a bar and give the day everything you've got.",,https://i.postimg.cc/7Y6rbMf0/8797141008414.jpg
Bars,Essential Zesty Lemon Crisp Bar - Naturally Flavored (Box),$21.45,https://www.optavia.com/webmedia/images/ha9/h23/8797140680734.jpg,,,https://i.postimg.cc/1zDLbvjh/8797140680734.jpg
Shakes & Smoothies,Essential Creamy Vanilla Shake  (Box),$21.45,https://www.optavia.com/webmedia/images/h09/h91/8797141270558.jpg,"Take time to enjoy the simple pleasures in life with this sweet and delicious Creamy Vanilla Shake. Delightfully rich and simply delicious, this amazingly frothy shake is the perfect treat any time of the day. Fill up your glass and take delight in living life to its fullest.",,https://i.postimg.cc/BbnkL4Q4/8797141270558.jpg
Shakes & Smoothies,Essential Mocha Blast Shake - Naturally Flavored (Box),$21.45,https://www.optavia.com/webmedia/images/h74/h02/8797140746270.jpg,,,https://i.postimg.cc/RFR2ZNmg/8797140746270.jpg
Shakes & Smoothies,Essential Caramel Macchiato Shake - Naturally Flavored (Box),$21.45,https://www.optavia.com/webmedia/images/h8e/hc6/8797139697694.jpg,,,https://i.postimg.cc/W3jQV0BD/8797139697694.jpg
Shakes & Smoothies,Essential Silky Peanut Butter Shake - Naturally Flavored (Box),$21.45,https://www.optavia.com/webmedia/images/h42/hf8/8797140910110.jpg,,,https://i.postimg.cc/PfSBGp2x/8797140910110.jpg
Shakes & Smoothies,Essential Yogurt Berry Blast Smoothie - Naturally Flavored (Box),$21.45,https://www.optavia.com/webmedia/images/h4e/hf3/8797139468318.jpg,,,https://i.postimg.cc/2y9JnMVv/8797139468318.jpg
Shakes & Smoothies,Essential Rich Dark Chocolate Shake with Antioxidants - Naturally Flavored (Box),$21.45,https://www.optavia.com/webmedia/images/h85/h1d/8797139927070.jpg,,,https://i.postimg.cc/Qt0nrwgP/8797139927070.jpg
Drinks,Essential Velvety Hot Chocolate - Naturally Flavored (Box),$21.45,https://www.optavia.com/webmedia/images/h7b/h96/8797140615198.jpg,,,https://i.postimg.cc/nc5gr88f/8797140615198.jpg
Shakes & Smoothies,Essential Wild Strawberry Shake  (Box),$21.45,https://www.optavia.com/webmedia/images/hd9/hf0/8797141106718.jpg,"Revel in sweet summer flavor any time of the year with this frothy Wild Strawberry Shake. Creamy, bright, and jam-packed  with the juicy, fruity flavor of strawberries, this frothy shake will refresh you for the day’s journey, no matter where you're headed. Fill up your glass and shake up the day.",,https://i.postimg.cc/hG852fXK/8797141106718.jpg
Shakes & Smoothies,Essential Tropical Fruit Smoothie - Naturally Flavored (Box),$21.45,https://www.optavia.com/webmedia/images/h7e/ha4/8797141237790.jpg,,,https://i.postimg.cc/HxpPRdMX/8797141237790.jpg
Drinks,Essential Frothy Cappuccino Boost - Naturally Flavored (Box),$21.45,https://www.optavia.com/webmedia/images/ha6/h59/8797139632158.jpg,,,https://i.postimg.cc/fyyqWCBb/8797139632158.jpg
Soups,Essential Homestyle Chicken Flavored & Vegetable Noodle Soup - Naturally Flavored (Box),$21.45,https://www.optavia.com/webmedia/images/h7f/h54/8797139828766.jpg,,,https://i.postimg.cc/jjT8ntZm/8797139828766.jpg
Hearty Choices,Essential Cheesy Buttermilk Cheddar Mac - Naturally Flavored (Box),$21.45,https://www.optavia.com/webmedia/images/h55/hc0/8797139599390.jpg,,,https://i.postimg.cc/3JyfPLkS/8797139599390.jpg
Soups,"Essential Wild Rice & Chicken Flavored Soup with Carrots, Celery, Onions, Peas, and Shiitake Mushrooms - Naturally Flavored (Box)",$21.45,https://www.optavia.com/webmedia/images/h38/h56/8797141401630.jpg,,,https://i.postimg.cc/nL13vgWz/8797141401630.jpg
Hearty Choices,Essential Sour Cream & Chive Smashed Potatoes  (Box),$21.45,https://www.optavia.com/webmedia/images/ha5/ha9/8797141041182.jpg,"Taste the hearty flavor of Sour Cream & Chive Smashed Potatoes and enjoy the day ahead. Smooth, real sour cream and the delicate, earthy flavor of chives fill these mashed potatoes with incredible flavor. Dish out, fill up on flavor, and enjoy the life ahead.",,https://i.postimg.cc/zXRpdVQ4/8797141041182.jpg
Hearty Choices,Essential Roasted Garlic Creamy Smashed Potatoes  (Box),$21.45,https://www.optavia.com/webmedia/images/h25/hcb/8797140516894.jpg,"Taste the satisfying flavor of Roasted Garlic Creamy Smashed Potatoes and take on the day. The sweet, spicy flavor of garlic and creamy texture ignites your palette, making these smashed potatoes a unique and delightful experience. Dish out, fill up on flavor, and savor every minute of life.",,https://i.postimg.cc/nrXTfzhj/8797140516894.jpg
Soups,Essential Beef & Garden Vegetable Soup - Naturally Flavored (Box),$21.45,https://www.optavia.com/webmedia/images/h3c/ha9/8797139304478.jpg,,,https://i.postimg.cc/dV26YgwB/8797139304478.jpg
